customer_id,city,customer_area,membership_tier,customer_segment,previous_monthly_orders,current_monthly_orders,order_drop_count,order_drop_pct,previous_monthly_revenue,current_monthly_revenue,revenue_drop_pct,churn_risk_label,recommended_coupon,coupon_reason,business_action,revenue_at_risk
1,Hyderabad,Secunderabad,NONE,Regular Customer,0.0,2.0,-2.0,0.0,0.0,970.0,0.0,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
2,Hyderabad,New Maruthi Nagar,NONE,Coupon Sensitive Customer,1.0,4.0,-3.0,-3.0,317.0,661.0,-1.09,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
3,Hyderabad,Secunderabad,NONE,Regular Customer,2.0,1.0,1.0,0.5,443.0,594.0,-0.34,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
4,Hyderabad,Gachibowli,NONE,Regular Customer,3.0,2.0,1.0,0.33,312.0,239.0,0.23,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
5,Hyderabad,Moosapet,NONE,Coupon Sensitive Customer,2.0,4.0,-2.0,-1.0,487.0,1585.0,-2.25,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
6,Hyderabad,Kukatpally,ONE_LITE,Coupon Sensitive Customer,2.0,2.0,0.0,0.0,559.0,548.0,0.02,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
7,Hyderabad,Banjara Hills,NONE,Coupon Sensitive Customer,2.0,1.0,1.0,0.5,401.0,189.0,0.53,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
8,Hyderabad,Banjara Hills,ONE_LITE,Regular Customer,3.0,4.0,-1.0,-0.33,351.0,1306.0,-2.72,Low Churn Risk,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
9,Hyderabad,Khairatabad,ONE,Coupon Sensitive Customer,4.0,5.0,-1.0,-0.25,1420.0,890.0,0.37,Low Churn Risk,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
10,Hyderabad,Khairatabad,ONE,Regular Customer,7.0,2.0,5.0,0.71,850.0,804.0,0.05,Medium Churn Risk,SAVE50,Moderate drop in orders. Medium coupon can improve retention.,Send reminder notification and medium-value coupon.,850.0
