customer_id,order_month_period,monthly_orders,monthly_revenue,monthly_gross_amount,avg_order_value,coupon_used_count,coupon_discount_total,delayed_orders,rain_orders,surge_orders,avg_delivery_minutes,avg_distance_km,avg_rating,campaign_exposed_count,ad_clicked_count,city,customer_area,membership_tier,delay_rate,coupon_usage_rate,campaign_click_rate
1,2025-01,3,439,439,146.33,3,0,0,0,0,32.33,3.1,1.43,0,0,Hyderabad,Gachibowli,NONE,0.0,1.0,0.0
1,2025-02,5,625,625,125.0,1,0,0,0,1,26.6,8.38,0.76,2,0,Hyderabad,Secunderabad,NONE,0.0,0.2,0.0
1,2025-03,3,341,472,113.67,1,131,1,1,1,32.67,10.04,0.0,0,0,Hyderabad,Banjara Hills,NONE,0.33,0.33,0.0
1,2025-04,1,279,348,279.0,1,69,1,0,0,42.0,11.03,0.0,1,0,Hyderabad,Secunderabad,NONE,1.0,1.0,0.0
1,2025-05,4,629,629,157.25,2,0,0,1,1,28.75,4.84,0.0,1,0,Hyderabad,Kukatpally,NONE,0.0,0.5,0.0
1,2025-06,2,1241,1241,620.5,0,0,1,0,1,27.5,4.81,0.0,0,0,Hyderabad,Kukatpally,NONE,0.5,0.0,0.0
1,2025-07,2,1071,1221,535.5,1,150,0,0,1,27.5,14.47,2.45,0,0,Hyderabad,Secunderabad,NONE,0.0,0.5,0.0
1,2025-08,2,299,299,149.5,1,0,0,1,1,35.0,8.3,0.0,0,0,Hyderabad,Gachibowli,NONE,0.0,0.5,0.0
1,2025-09,3,368,368,122.67,0,0,0,1,0,20.67,7.25,2.4,2,0,Hyderabad,Ameerpet,NONE,0.0,0.0,0.0
1,2025-12,2,970,970,485.0,0,0,1,0,1,35.5,8.2,0.0,0,0,Hyderabad,Secunderabad,NONE,0.5,0.0,0.0
2,2024-12,1,208,208,208.0,0,0,0,0,0,36.0,5.1,0.0,0,0,Hyderabad,Moosapet,NONE,0.0,0.0,0.0
2,2025-01,3,682,682,227.33,1,0,1,0,1,34.67,7.97,1.2,1,0,Hyderabad,New Maruthi Nagar,NONE,0.33,0.33,0.0
2,2025-02,1,186,186,186.0,0,0,0,0,0,35.0,4.87,4.2,0,0,Hyderabad,Moosapet,NONE,0.0,0.0,0.0
2,2025-03,4,899,979,224.75,1,80,0,1,0,32.25,3.58,0.6,2,0,Hyderabad,Secunderabad,NONE,0.0,0.25,0.0
2,2025-04,4,790,859,197.5,1,69,0,0,1,32.75,4.81,0.0,1,0,Hyderabad,Khairatabad,NONE,0.0,0.25,0.0
2,2025-05,2,285,285,142.5,1,0,1,0,0,30.0,7.2,1.95,0,0,Hyderabad,Madhapur,NONE,0.5,0.5,0.0
2,2025-06,2,759,801,379.5,1,42,1,0,0,31.5,7.08,0.0,0,0,Hyderabad,Secunderabad,NONE,0.5,0.5,0.0
2,2025-07,2,363,363,181.5,1,0,1,1,2,35.5,8.73,2.0,0,0,Hyderabad,Gachibowli,NONE,0.5,0.5,0.0
2,2025-10,4,1330,1470,332.5,3,140,0,0,1,23.0,6.18,1.25,3,0,Hyderabad,Kukatpally,NONE,0.0,0.75,0.0
2,2025-11,1,317,372,317.0,1,55,0,0,0,34.0,11.17,0.0,0,0,Hyderabad,Gachibowli,NONE,0.0,1.0,0.0
2,2025-12,4,661,896,165.25,4,235,2,1,0,38.75,6.52,1.02,2,0,Hyderabad,New Maruthi Nagar,NONE,0.5,1.0,0.0
3,2024-12,1,624,624,624.0,0,0,0,1,0,31.0,6.28,0.0,0,0,Hyderabad,Ameerpet,NONE,0.0,0.0,0.0
3,2025-01,1,205,205,205.0,0,0,0,0,0,31.0,10.98,0.0,0,0,Hyderabad,Secunderabad,NONE,0.0,0.0,0.0
3,2025-03,2,329,409,164.5,1,80,1,1,0,43.5,8.91,2.2,1,0,Hyderabad,Abids,NONE,0.5,0.5,0.0
3,2025-04,1,162,162,162.0,0,0,0,1,0,35.0,11.56,0.0,0,0,Hyderabad,Secunderabad,NONE,0.0,0.0,0.0
3,2025-05,1,205,205,205.0,0,0,1,1,1,48.0,11.56,0.0,0,0,Hyderabad,Secunderabad,NONE,1.0,0.0,0.0
3,2025-07,3,775,815,258.33,1,40,0,0,0,19.67,11.21,2.97,2,0,Hyderabad,Kukatpally,NONE,0.0,0.33,0.0
3,2025-08,2,613,693,306.5,2,80,1,0,1,33.5,2.49,2.2,1,0,Hyderabad,Madhapur,NONE,0.5,1.0,0.0
3,2025-09,2,191,191,95.5,1,0,0,0,0,21.5,7.36,2.0,1,0,Hyderabad,Khairatabad,NONE,0.0,0.5,0.0
3,2025-11,2,443,443,221.5,0,0,1,0,2,40.0,7.85,1.8,1,0,Hyderabad,Secunderabad,NONE,0.5,0.0,0.0
3,2025-12,1,594,594,594.0,0,0,0,0,0,30.0,10.98,0.0,0,0,Hyderabad,Secunderabad,NONE,0.0,0.0,0.0
4,2025-01,3,1092,1092,364.0,0,0,0,2,0,27.0,7.56,0.8,1,0,Hyderabad,Banjara Hills,NONE,0.0,0.0,0.0
4,2025-02,5,2358,2458,471.6,1,100,2,1,1,35.4,8.18,0.0,2,0,Hyderabad,Banjara Hills,NONE,0.4,0.2,0.0
4,2025-03,4,1276,1276,319.0,0,0,1,0,0,25.0,8.22,1.23,0,0,Hyderabad,Khairatabad,NONE,0.25,0.0,0.0
4,2025-04,1,60,60,60.0,0,0,0,0,0,40.0,0.14,0.0,0,0,Hyderabad,Kukatpally,NONE,0.0,0.0,0.0
4,2025-05,5,763,913,152.6,1,150,0,1,0,32.4,12.44,1.92,1,0,Hyderabad,Abids,NONE,0.0,0.2,0.0
4,2025-06,3,568,568,189.33,1,0,0,0,0,27.67,8.81,2.67,1,0,Hyderabad,Madhapur,NONE,0.0,0.33,0.0
4,2025-07,2,264,264,132.0,2,0,1,1,0,44.5,11.75,0.0,0,0,Hyderabad,Moosapet,NONE,0.5,1.0,0.0
4,2025-08,1,289,289,289.0,0,0,0,1,1,33.0,11.42,3.2,0,0,Hyderabad,Khairatabad,NONE,0.0,0.0,0.0
4,2025-09,3,459,459,153.0,1,0,0,0,0,27.0,9.66,1.43,0,0,Hyderabad,Kukatpally,NONE,0.0,0.33,0.0
4,2025-10,1,279,279,279.0,0,0,1,0,0,41.0,18.81,0.0,0,0,Hyderabad,New Maruthi Nagar,NONE,1.0,0.0,0.0
4,2025-11,3,312,312,104.0,1,0,0,0,0,34.33,7.83,1.63,2,0,Hyderabad,Abids,NONE,0.0,0.33,0.0
4,2025-12,2,239,239,119.5,2,0,0,1,0,24.5,4.69,0.0,1,0,Hyderabad,Gachibowli,NONE,0.0,1.0,0.0
5,2024-12,1,153,153,153.0,1,0,0,1,1,29.0,15.66,0.0,0,0,Hyderabad,Gachibowli,NONE,0.0,1.0,0.0
5,2025-01,2,202,202,101.0,0,0,0,0,0,21.0,7.95,1.55,0,0,Hyderabad,New Maruthi Nagar,NONE,0.0,0.0,0.0
5,2025-02,4,1040,1040,260.0,0,0,1,0,0,35.5,11.28,2.12,1,0,Hyderabad,Gachibowli,NONE,0.25,0.0,0.0
5,2025-03,8,1250,1290,156.25,3,40,2,2,1,31.88,9.4,1.36,3,0,Hyderabad,Ameerpet,NONE,0.25,0.38,0.0
5,2025-04,1,99,99,99.0,0,0,1,1,1,52.0,15.6,0.0,0,0,Hyderabad,Gachibowli,NONE,1.0,0.0,0.0
5,2025-05,2,420,420,210.0,0,0,0,0,0,24.5,4.89,2.0,1,0,Hyderabad,Khairatabad,NONE,0.0,0.0,0.0
5,2025-06,4,1502,1502,375.5,1,0,1,1,2,32.75,11.21,0.78,1,0,Hyderabad,New Maruthi Nagar,NONE,0.25,0.25,0.0
5,2025-07,3,389,389,129.67,0,0,0,1,0,30.33,4.16,2.57,1,0,Hyderabad,Secunderabad,NONE,0.0,0.0,0.0
5,2025-08,5,671,671,134.2,0,0,0,1,1,33.2,5.0,0.0,2,0,Hyderabad,Abids,NONE,0.0,0.0,0.0
5,2025-09,4,529,529,132.25,1,0,0,1,0,28.0,9.44,0.95,1,0,Hyderabad,Moosapet,NONE,0.0,0.25,0.0
5,2025-10,3,1503,1623,501.0,2,120,1,0,2,29.67,10.88,0.0,0,0,Hyderabad,Kukatpally,NONE,0.33,0.67,0.0
5,2025-11,2,487,487,243.5,1,0,0,1,0,25.0,10.21,0.0,1,0,Hyderabad,New Maruthi Nagar,NONE,0.0,0.5,0.0
5,2025-12,4,1585,1625,396.25,1,40,2,2,0,36.75,11.42,1.1,1,0,Hyderabad,Moosapet,NONE,0.5,0.25,0.0
6,2025-01,3,857,887,285.67,1,0,1,1,1,41.67,10.65,0.0,1,0,Hyderabad,Ameerpet,ONE_LITE,0.33,0.33,0.0
6,2025-02,3,451,619,150.33,2,138,1,0,0,33.0,2.95,3.07,1,0,Hyderabad,Khairatabad,ONE_LITE,0.33,0.67,0.0
6,2025-03,2,574,594,287.0,0,0,0,0,0,35.0,9.92,2.3,1,0,Hyderabad,New Maruthi Nagar,ONE_LITE,0.0,0.0,0.0
6,2025-04,2,703,723,351.5,0,0,1,0,1,38.5,15.4,0.0,0,0,Hyderabad,Gachibowli,ONE_LITE,0.5,0.0,0.0
6,2025-05,2,734,754,367.0,0,0,1,1,0,35.5,18.44,2.15,2,0,Hyderabad,Madhapur,ONE_LITE,0.5,0.0,0.0
6,2025-06,4,1907,2064,476.75,2,117,1,1,0,30.0,7.57,2.38,1,0,Hyderabad,Abids,ONE_LITE,0.25,0.5,0.0
6,2025-08,2,469,489,234.5,0,0,0,1,1,34.0,12.46,0.0,0,0,Hyderabad,Secunderabad,ONE_LITE,0.0,0.0,0.0
6,2025-10,2,747,767,373.5,0,0,1,0,0,37.5,9.02,2.15,0,0,Hyderabad,Khairatabad,ONE_LITE,0.5,0.0,0.0
6,2025-11,2,559,663,279.5,2,84,0,0,0,23.5,7.56,1.7,1,0,Hyderabad,Secunderabad,ONE_LITE,0.0,1.0,0.0
6,2025-12,2,548,568,274.0,0,0,1,0,0,37.0,17.74,1.45,2,0,Hyderabad,Kukatpally,ONE_LITE,0.5,0.0,0.0
7,2024-12,1,60,60,60.0,0,0,1,0,0,55.0,11.65,3.9,1,0,Hyderabad,Khairatabad,NONE,1.0,0.0,0.0
7,2025-01,4,714,714,178.5,1,0,1,1,0,33.0,6.32,1.1,1,0,Hyderabad,Banjara Hills,NONE,0.25,0.25,0.0
