customer_id,previous_order_month_period,previous_monthly_orders,previous_monthly_revenue,previous_monthly_gross_amount,previous_avg_order_value,previous_coupon_used_count,previous_coupon_discount_total,previous_delayed_orders,previous_rain_orders,previous_surge_orders,previous_avg_delivery_minutes,previous_avg_distance_km,previous_avg_rating,previous_campaign_exposed_count,previous_ad_clicked_count,previous_city,previous_customer_area,previous_membership_tier,previous_delay_rate,previous_coupon_usage_rate,previous_campaign_click_rate,current_order_month_period,current_monthly_orders,current_monthly_revenue,current_monthly_gross_amount,current_avg_order_value,current_coupon_used_count,current_coupon_discount_total,current_delayed_orders,current_rain_orders,current_surge_orders,current_avg_delivery_minutes,current_avg_distance_km,current_avg_rating,current_campaign_exposed_count,current_ad_clicked_count,current_city,current_customer_area,current_membership_tier,current_delay_rate,current_coupon_usage_rate,current_campaign_click_rate,city,customer_area,membership_tier,order_drop_count,order_drop_pct,revenue_drop_amount,revenue_drop_pct,high_value_customer_flag,bad_experience_flag,coupon_sensitive_flag,churn_risk_label,churn_risk_num,customer_segment,recommended_coupon,coupon_reason,business_action,revenue_at_risk
1,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,2025-12,2.0,970.0,970.0,485.0,0.0,0.0,1.0,0.0,1.0,35.5,8.2,0.0,0.0,0.0,Hyderabad,Secunderabad,NONE,0.5,0.0,0.0,Hyderabad,Secunderabad,NONE,-2.0,0.0,-970.0,0.0,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
2,2025-11,1.0,317.0,372.0,317.0,1.0,55.0,0.0,0.0,0.0,34.0,11.17,0.0,0.0,0.0,Hyderabad,Gachibowli,NONE,0.0,1.0,0.0,2025-12,4.0,661.0,896.0,165.25,4.0,235.0,2.0,1.0,0.0,38.75,6.52,1.02,2.0,0.0,Hyderabad,New Maruthi Nagar,NONE,0.5,1.0,0.0,Hyderabad,New Maruthi Nagar,NONE,-3.0,-3.0,-344.0,-1.09,0,1,1,Low Churn Risk,0,Coupon Sensitive Customer,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
3,2025-11,2.0,443.0,443.0,221.5,0.0,0.0,1.0,0.0,2.0,40.0,7.85,1.8,1.0,0.0,Hyderabad,Secunderabad,NONE,0.5,0.0,0.0,2025-12,1.0,594.0,594.0,594.0,0.0,0.0,0.0,0.0,0.0,30.0,10.98,0.0,0.0,0.0,Hyderabad,Secunderabad,NONE,0.0,0.0,0.0,Hyderabad,Secunderabad,NONE,1.0,0.5,-151.0,-0.34,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
4,2025-11,3.0,312.0,312.0,104.0,1.0,0.0,0.0,0.0,0.0,34.33,7.83,1.63,2.0,0.0,Hyderabad,Abids,NONE,0.0,0.33,0.0,2025-12,2.0,239.0,239.0,119.5,2.0,0.0,0.0,1.0,0.0,24.5,4.69,0.0,1.0,0.0,Hyderabad,Gachibowli,NONE,0.0,1.0,0.0,Hyderabad,Gachibowli,NONE,1.0,0.33,73.0,0.23,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
5,2025-11,2.0,487.0,487.0,243.5,1.0,0.0,0.0,1.0,0.0,25.0,10.21,0.0,1.0,0.0,Hyderabad,New Maruthi Nagar,NONE,0.0,0.5,0.0,2025-12,4.0,1585.0,1625.0,396.25,1.0,40.0,2.0,2.0,0.0,36.75,11.42,1.1,1.0,0.0,Hyderabad,Moosapet,NONE,0.5,0.25,0.0,Hyderabad,Moosapet,NONE,-2.0,-1.0,-1098.0,-2.25,0,1,1,Low Churn Risk,0,Coupon Sensitive Customer,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
6,2025-11,2.0,559.0,663.0,279.5,2.0,84.0,0.0,0.0,0.0,23.5,7.56,1.7,1.0,0.0,Hyderabad,Secunderabad,ONE_LITE,0.0,1.0,0.0,2025-12,2.0,548.0,568.0,274.0,0.0,0.0,1.0,0.0,0.0,37.0,17.74,1.45,2.0,0.0,Hyderabad,Kukatpally,ONE_LITE,0.5,0.0,0.0,Hyderabad,Kukatpally,ONE_LITE,0.0,0.0,11.0,0.02,0,1,1,Low Churn Risk,0,Coupon Sensitive Customer,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
7,2025-11,2.0,401.0,401.0,200.5,1.0,0.0,1.0,1.0,1.0,40.5,11.47,2.4,1.0,0.0,Hyderabad,Moosapet,NONE,0.5,0.5,0.0,2025-12,1.0,189.0,189.0,189.0,0.0,0.0,0.0,1.0,0.0,31.0,9.9,4.0,0.0,0.0,Hyderabad,Banjara Hills,NONE,0.0,0.0,0.0,Hyderabad,Banjara Hills,NONE,1.0,0.5,212.0,0.53,0,1,1,Low Churn Risk,0,Coupon Sensitive Customer,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
8,2025-11,3.0,351.0,381.0,117.0,0.0,0.0,0.0,0.0,0.0,29.0,10.4,0.0,0.0,0.0,Hyderabad,Abids,ONE_LITE,0.0,0.0,0.0,2025-12,4.0,1306.0,1346.0,326.5,1.0,0.0,4.0,1.0,4.0,48.0,15.24,0.0,3.0,0.0,Hyderabad,Banjara Hills,ONE_LITE,1.0,0.25,0.0,Hyderabad,Banjara Hills,ONE_LITE,-1.0,-0.33,-955.0,-2.72,0,1,0,Low Churn Risk,0,Regular Customer,NO_COUPON_REQUIRED,Customer is currently stable. Avoid unnecessary coupon burn.,Continue normal engagement.,0.0
9,2025-11,4.0,1420.0,1680.0,355.0,3.0,160.0,3.0,2.0,3.0,43.25,5.31,1.18,2.0,0.0,Hyderabad,Moosapet,ONE,0.75,0.75,0.0,2025-12,5.0,890.0,1239.0,178.0,4.0,224.0,2.0,1.0,1.0,42.8,4.82,1.0,3.0,0.0,Hyderabad,Khairatabad,ONE,0.4,0.8,0.0,Hyderabad,Khairatabad,ONE,-1.0,-0.25,530.0,0.37,1,1,1,Low Churn Risk,0,Coupon Sensitive Customer,SAVE30,Customer frequently uses coupons. Small coupon can trigger another order.,Continue normal engagement.,0.0
10,2025-11,7.0,850.0,1025.0,121.43,2.0,0.0,1.0,1.0,1.0,27.43,4.77,0.67,2.0,0.0,Hyderabad,New Maruthi Nagar,ONE,0.14,0.29,0.0,2025-12,2.0,804.0,849.0,402.0,0.0,0.0,0.0,0.0,0.0,24.5,1.25,0.0,0.0,0.0,Hyderabad,Khairatabad,ONE,0.0,0.0,0.0,Hyderabad,Khairatabad,ONE,5.0,0.71,46.0,0.05,1,1,0,Medium Churn Risk,0,Regular Customer,SAVE50,Moderate drop in orders. Medium coupon can improve retention.,Send reminder notification and medium-value coupon.,850.0
