restaurant_id,restaurant_location_name,restaurant_area,total_orders,total_revenue,avg_order_value,delayed_orders,rain_orders,surge_orders,avg_delivery_minutes,avg_distance_km,avg_rating,delay_rate_pct,rain_order_pct,restaurant_priority,business_action
1,Paradise - Abids,Abids,2591,566783,218.75,644,452,590,33.06,7.59,1.1,24.86,17.45,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
2,Bawarchi - Abids,Abids,2620,579947,221.35,682,465,592,33.34,8.05,1.16,26.03,17.75,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
3,Mehfil - Abids,Abids,2573,557320,216.6,688,450,623,33.6,7.29,1.07,26.74,17.49,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
4,Shah Ghouse - New Maruthi Nagar,New Maruthi Nagar,2659,592884,222.97,654,443,634,32.84,11.64,1.16,24.6,16.66,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
5,Pista House - New Maruthi Nagar,New Maruthi Nagar,2593,581323,224.19,649,463,557,32.93,11.96,1.08,25.03,17.86,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
6,Chutneys - New Maruthi Nagar,New Maruthi Nagar,2647,584772,220.92,683,481,625,33.47,11.26,1.11,25.8,18.17,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
7,Meridian - Secunderabad,Secunderabad,2715,588843,216.89,690,444,581,33.12,8.47,1.09,25.41,16.35,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
8,Ram Ki Bandi - Secunderabad,Secunderabad,2606,577794,221.72,666,465,615,33.3,8.21,1.09,25.56,17.84,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
9,Karachi Bakery Cafe - Secunderabad,Secunderabad,2664,593964,222.96,665,450,614,33.26,7.92,1.1,24.96,16.89,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
10,Cream Stone - Khairatabad,Khairatabad,2709,584479,215.75,689,495,611,33.34,6.41,1.11,25.43,18.27,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
11,Paradise - Khairatabad,Khairatabad,2626,577925,220.08,681,451,624,33.49,6.44,1.15,25.93,17.17,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
12,Bawarchi - Khairatabad,Khairatabad,2666,605683,227.19,653,460,618,33.13,6.12,1.13,24.49,17.25,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
13,Mehfil - Ameerpet,Ameerpet,2688,594089,221.02,640,486,591,33.02,5.95,1.13,23.81,18.08,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
14,Shah Ghouse - Ameerpet,Ameerpet,2770,611904,220.9,697,492,665,33.07,5.92,1.07,25.16,17.76,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
15,Pista House - Ameerpet,Ameerpet,2709,591905,218.5,711,485,638,33.05,5.91,1.05,26.25,17.9,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
16,Chutneys - Moosapet,Moosapet,2622,562545,214.55,616,473,550,32.83,7.17,1.08,23.49,18.04,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
17,Meridian - Moosapet,Moosapet,2636,567809,215.41,637,510,573,33.06,6.8,1.05,24.17,19.35,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
18,Ram Ki Bandi - Moosapet,Moosapet,2616,581431,222.26,658,492,607,32.97,7.07,1.14,25.15,18.81,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
19,Karachi Bakery Cafe - Gachibowli,Gachibowli,2650,580379,219.01,646,512,553,32.72,10.32,1.03,24.38,19.32,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
20,Cream Stone - Gachibowli,Gachibowli,2632,575166,218.53,677,476,602,33.18,10.28,1.11,25.72,18.09,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
21,Paradise - Gachibowli,Gachibowli,2675,594792,222.35,701,484,609,33.53,10.7,1.16,26.21,18.09,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
22,Bawarchi - Banjara Hills,Banjara Hills,2653,589645,222.26,685,500,593,33.31,6.1,1.13,25.82,18.85,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
23,Mehfil - Banjara Hills,Banjara Hills,2619,588332,224.64,639,451,595,33.05,6.11,1.05,24.4,17.22,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
24,Shah Ghouse - Banjara Hills,Banjara Hills,2596,570204,219.65,659,433,572,32.98,6.03,1.13,25.39,16.68,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
25,Pista House - Kukatpally,Kukatpally,2609,563156,215.85,630,495,566,32.93,9.58,1.11,24.15,18.97,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
26,Chutneys - Kukatpally,Kukatpally,2696,583561,216.45,668,486,612,33.58,9.1,1.12,24.78,18.03,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
27,Meridian - Kukatpally,Kukatpally,2697,593755,220.15,720,519,645,33.48,9.55,1.15,26.7,19.24,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
28,Ram Ki Bandi - Madhapur,Madhapur,2703,601326,222.47,653,482,626,33.03,7.48,1.04,24.16,17.83,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
29,Karachi Bakery Cafe - Madhapur,Madhapur,2682,586022,218.5,647,517,642,33.06,7.22,1.08,24.12,19.28,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
30,Cream Stone - Madhapur,Madhapur,2597,581153,223.78,653,457,604,33.42,7.81,1.11,25.14,17.6,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
31,Smoor - Whitefield,Whitefield,2668,616045,230.9,871,472,606,35.51,10.5,1.12,32.65,17.69,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
32,Corner House - Whitefield,Whitefield,2652,601857,226.94,825,470,628,35.35,10.12,1.11,31.11,17.72,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
33,CTR - Whitefield,Whitefield,2546,576524,226.44,789,471,598,35.16,9.6,1.11,30.99,18.5,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
34,Truffles - Banaswadi,Banaswadi,2650,590752,222.93,824,480,592,35.4,8.34,1.11,31.09,18.11,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
35,Nagarjuna - Banaswadi,Banaswadi,2635,600076,227.73,849,498,634,35.61,8.07,1.04,32.22,18.9,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
36,CTR (Central Tiffin Room) - Banaswadi,Banaswadi,2694,610050,226.45,827,472,615,35.16,8.21,1.11,30.7,17.52,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
37,MTR - Malleshwaram,Malleshwaram,2575,585464,227.36,813,471,574,35.34,11.23,1.1,31.57,18.29,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
38,Empire Restaurant - Malleshwaram,Malleshwaram,2626,593710,226.09,798,456,575,35.19,11.22,1.12,30.39,17.36,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
39,Vidyarthi Bhavan - Malleshwaram,Malleshwaram,2651,596619,225.05,810,483,621,34.89,11.53,1.11,30.55,18.22,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
40,Meghana Foods - Malleshwaram,Malleshwaram,2552,577129,226.15,780,442,582,35.03,11.58,1.14,30.56,17.32,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
41,Udupi Sri Krishna Bhavan - Malleshwaram,Malleshwaram,2597,588974,226.79,803,482,628,35.19,11.32,1.09,30.92,18.56,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
42,Smoor - Malleshwaram,Malleshwaram,2567,586926,228.64,792,455,587,35.05,12.02,1.13,30.85,17.72,Critical Restaurant Ops Risk,"Review restaurant prep time, reduce exposure during peak hours, and alert operations team."
