order_id,transaction_date,city,device_type,gross_amount,coupon_discount_amount,membership_benefit_amount,total_discount_amount,quantity,rating,coupon_used_num,surge_num,raining_num,campaign_exposed_num,delivery_success_num,membership_tier,restaurant_name,product_name,cuisine_tag,coupon_name,campaign_name,channel,objective,net_amount,order_month,order_dayofweek,delay_prediction,delay_risk,delay_probability,recommendation
NEW1001,2026-07-28,Hyderabad,Android,1200,100,50,150,2,4.2,1,1,1,1,1,ONE_PLUS,Demo Restaurant,Paneer Biryani,Biryani,WELCOME50,Campaign A,Push,Retention,1050,7,1,1,High Delay Risk,0.69,Increase delivery partner availability / monitor zone
NEW1002,2026-07-28,Bangalore,iOS,450,0,0,0,1,4.8,0,0,1,0,1,NONE,Demo Restaurant,Burger,Burger,NONE,NONE,NONE,NONE,450,7,1,0,Low Delay Risk,0.40719712752525256,Normal monitoring
NEW1003,2026-07-28,Hyderabad,Android,358,100,50,150,1,4.5,1,1,1,1,1,ONE_PLUS,Demo Restaurant,Chicken Biryani,Hyderabadi,WELCOME50,Campaign B,Push,Retention,208,7,1,1,High Delay Risk,0.71,Increase delivery partner availability / monitor zone
NEW1004,2026-07-28,Bangalore,iOS,444,0,0,0,2,3.0,0,0,1,0,1,NONE,Demo Restaurant,Mutton Biryani,Chinese,WELCOME51,Campaign A,Push,Retention,444,7,1,0,Low Delay Risk,0.47,Normal monitoring
NEW1005,2026-07-28,Hyderabad,Android,32,100,50,150,3,4.0,1,1,1,1,1,ONE_PLUS,Demo Restaurant,Veg Biryani,South Indian,NONE,NONE,NONE,NONE,-118,7,1,1,High Delay Risk,0.58,Increase delivery partner availability / monitor zone
NEW1006,2026-07-28,Bangalore,iOS,666,0,0,0,4,4.2,0,0,1,0,1,NONE,Demo Restaurant,Chicken 65,South Indian,WELCOME51,Campaign B,Push,Retention,666,7,1,0,Low Delay Risk,0.44,Normal monitoring
NEW1007,2026-07-28,Hyderabad,Android,542,100,50,150,5,5.0,1,1,1,1,1,ONE_PLUS,Demo Restaurant,Apollo Fish,North Indian,WELCOME52,Campaign A,Push,Retention,392,7,1,1,High Delay Risk,0.64,Increase delivery partner availability / monitor zone
NEW1008,2026-07-28,Bangalore,iOS,5332,0,0,0,6,4.0,0,0,1,0,1,NONE,Demo Restaurant,Double Ka Meetha,Andhra,NONE,NONE,NONE,NONE,5332,7,1,0,Low Delay Risk,0.43,Normal monitoring
NEW1009,2026-07-28,Hyderabad,Android,4664,300,50,150,7,3.0,1,1,1,1,1,ONE_PLUS,Demo Restaurant,Kebab Platter,Cafe,WELCOME52,Campaign B,Push,Retention,4514,7,1,1,High Delay Risk,0.73,Increase delivery partner availability / monitor zone
NEW1010,2026-07-28,Bangalore,iOS,350,100,0,0,8,3.5,0,0,1,0,1,NONE,Demo Restaurant,Hyderabadi Dum Biryani,Desserts,WELCOME53,Campaign A,Push,Retention,350,7,1,0,Low Delay Risk,0.39,Normal monitoring
NEW1011,2026-07-28,Hyderabad,Android,900,0,50,150,1,4.2,1,1,1,1,1,ONE_PLUS,Demo Restaurant,Paneer Butter Masala,Hyderabadi,NONE,NONE,NONE,NONE,750,7,1,1,High Delay Risk,0.64,Increase delivery partner availability / monitor zone
NEW1012,2026-07-28,Bangalore,iOS,789,100,0,0,2,4.8,0,0,1,0,1,NONE,Demo Restaurant,Tandoori Chicken,Hyderabadi,WELCOME53,Campaign B,Push,Retention,789,7,1,0,Low Delay Risk,0.46,Normal monitoring
NEW1013,2026-07-28,Hyderabad,Android,765,0,40,300,3,4.5,1,1,1,1,1,ONE_PLUS,Demo Restaurant,Chicken Fried Rice,Andhra,WELCOME54,Campaign A,Push,Retention,465,7,1,1,High Delay Risk,0.59,Increase delivery partner availability / monitor zone
NEW1014,2026-07-28,Bangalore,iOS,456,100,50,150,4,3.0,0,0,0,0,1,NONE,Demo Restaurant,Rumali Roti,South Indian,NONE,NONE,NONE,NONE,306,7,1,0,Low Delay Risk,0.14,Normal monitoring
NEW1015,2026-07-28,Hyderabad,Android,780,0,0,0,5,4.0,1,1,1,1,1,ONE_PLUS,Demo Restaurant,Gulab Jamun,South Indian,WELCOME54,Campaign B,Push,Retention,780,7,1,1,High Delay Risk,0.6,Increase delivery partner availability / monitor zone
NEW1016,2026-07-28,Bangalore,iOS,267,100,50,150,6,4.2,0,0,0,0,1,NONE,Demo Restaurant,Special Chicken Biryani,Hyderabadi,WELCOME55,Campaign A,Push,Retention,117,7,1,0,Low Delay Risk,0.19,Normal monitoring
NEW1017,2026-07-28,Hyderabad,Android,436,0,0,0,7,5.0,1,1,0,1,1,ONE_PLUS,Demo Restaurant,Mutton Keema,Cafe,NONE,NONE,NONE,NONE,436,7,1,0,Low Delay Risk,0.42,Normal monitoring
NEW1018,2026-07-28,Bangalore,iOS,2999,300,50,150,89,4.0,0,0,0,0,1,NONE,Demo Restaurant,Chicken Lollipop,South Indian,WELCOME55,Campaign B,Push,Retention,2849,7,1,0,Low Delay Risk,0.2,Normal monitoring
NEW1019,2026-07-28,Hyderabad,Android,2048,100,0,0,4,3.0,1,1,0,1,1,ONE_PLUS,Demo Restaurant,Chicken Shawarma,Cafe,WELCOME56,Campaign A,Push,Retention,2048,7,1,0,Low Delay Risk,0.45719712752525254,Normal monitoring
NEW1020,2026-07-28,Bangalore,iOS,3746,0,50,150,2,3.5,0,0,0,0,1,NONE,Demo Restaurant,Raita,Desserts,NONE,NONE,NONE,NONE,3596,7,1,0,Low Delay Risk,0.23,Normal monitoring
NEW1021,2026-07-28,Hyderabad,Android,399,100,0,0,2,4.2,1,1,0,1,1,ONE_PLUS,Demo Restaurant,Mirchi Ka Salan,South Indian,WELCOME56,Campaign B,Push,Retention,399,7,1,0,Low Delay Risk,0.48,Normal monitoring
NEW1022,2026-07-28,Bangalore,iOS,700,0,50,150,33,4.8,0,0,0,0,1,NONE,Demo Restaurant,Mutton Biryani,Chinese,WELCOME57,Campaign A,Push,Retention,550,7,1,0,Low Delay Risk,0.19,Normal monitoring
NEW1023,2026-07-28,Hyderabad,Android,600,100,0,0,5,4.5,1,1,1,1,1,ONE_PLUS,Demo Restaurant,Chicken Haleem,Hyderabadi,NONE,NONE,NONE,NONE,600,7,1,1,High Delay Risk,0.63,Increase delivery partner availability / monitor zone
NEW1024,2026-07-28,Bangalore,iOS,500,0,50,150,7,3.0,0,0,0,0,1,NONE,Demo Restaurant,Sheek Kebab,North Indian,WELCOME57,Campaign B,Push,Retention,350,7,1,0,Low Delay Risk,0.17,Normal monitoring
NEW1025,2026-07-28,Hyderabad,Android,4000,100,0,0,8,4.0,1,1,1,1,1,ONE_PLUS,Demo Restaurant,Mandi Chicken,Desserts,WELCOME58,Campaign A,Push,Retention,4000,7,1,1,High Delay Risk,0.6,Increase delivery partner availability / monitor zone
NEW1026,2026-07-28,Bangalore,iOS,8009,0,40,300,4,4.2,0,0,1,0,1,NONE,Demo Restaurant,Tandoori Roti,Continental,NONE,NONE,NONE,NONE,7709,7,1,0,Low Delay Risk,0.43,Normal monitoring
NEW1027,2026-07-28,Hyderabad,Android,900,300,50,150,2,5.0,1,1,1,1,1,ONE_PLUS,Demo Restaurant,Khubani Ka Meetha,Chinese,WELCOME58,Campaign B,Push,Retention,750,7,1,1,High Delay Risk,0.67,Increase delivery partner availability / monitor zone
